"","samplename","count"
"1","121R04_D01_CFFv1_NA0144",16219081
"2","10P13_E02_CFFv1_NB0022",12705937
"3","92P02_B01_CFFv1_NB0114",13909816
"4","3P13_E02_CFFv1_NB0015",11926501
"5","92R11_C02_CFFv1_NA0086",14191252
"6","111P08_H01_CFFv1_NB0136",13416242
"7","34P02_B01_CFFv1_NB0052",18052027
"8","84P05_E01_CFFv1_NB0105",14685620
"9","104R21_E03_CFFv1_NA0111",15727434
"10","80P04_D01_CFFv1_NB0101",11517219
"11","134R07_G01_CFFv1_NA0173",12749686
"12","102R22_F03_CFFv1_NA0107",14673436
"13","120R31_G04_CFFv1_NA0137",16065319
"14","50P05_E01_CFFv1_NB0067",14145365
"15","72P05_E01_CFFv1_NB0093",12398204
"16","121R27_C04_CFFv1_NB0004",18147420
"17","66P08_H01_CFFv1_NB0085",14403480
"18","11P06_F01_CFFv1_NB0023",9287224
"19","100R24_H03_CFFv1_NA0104",14798309
"20","86P06_F01_CFFv1_NB0107",15756208
"21","79P07_G01_CFFv1_NB0100",7584709
"22","104R18_B03_CFFv1_NA0111",8292812
"23","102R10_B02_CFFv1_NA0107",15641603
"24","93R24_H03_CFFv1_NA0087",9899184
"25","23P03_C01_CFFv1_NB0040",9745994
"26","29P14_F02_CFFv1_NB0046",6101219
"27","33P02_B01_CFFv1_NB0051",7705195
"28","107R23_G03_CFFv1_NA0121",24439002
"29","164R03_C01_CFFv1_NB0025",9434321
"30","106P14_F02_CFFv1_NB0129",6661207
"31","101P02_B01_CFFv1_NB0123",10239211
"32","117R24_H03_CFFv1_NA0134",10656216
"33","34P04_D01_CFFv1_NB0052",6835444
"34","55P10_B02_CFFv1_NB0072",13375937
"35","93R23_G03_CFFv1_NA0087",9121338
"36","104R07_G01_CFFv1_NA0111",8480336
"37","117R02_B01_CFFv1_NA0134",11098014
"38","50P06_F01_CFFv1_NB0067",11529529
"39","120P09_A02_CFFv1_NB0144",13018251
"40","5108_H01_CFFv1_NB0068",13381152
"41","100R28_D04_CFFv1_NA0104",14446020
"42","150R02_B01_CFFv1_NB0009",15978784
"43","73P10_B02_CFFv1_NB0094",12721701
"44","111P09_A02_CFFv1_NB0136",14796553
"45","96R06_F01_CFFv1_NA0097",15634126
"46","70P12_D02_CFFv1_NB0090",19553835
"47","5106_F01_CFFv1_NB0068",14131811
"48","38P11_C02_CFFv1_NB0056",15129351
"49","44P12_D02_CFFv1_NB0061",15812977
"50","73P08_H01_CFFv1_NB0094",9257938
"51","34P06_F01_CFFv1_NB0052",10236693
"52","81P06_F01_CFFv1_NB0102",11388910
"53","117R08_H01_CFFv1_NA0134",20756301
"54","111R14_F02_CFFv1_NA0128",23597695
"55","108R01_A01_CFFv1_NA0123",26865880
"56","34P07_G01_CFFv1_NB0052",29770232
"57","52P20_D03_CFFv1_NB0069",23038301
"58","96R23_G03_CFFv1_NA0097",30414943
"59","89R06_F01_CFFv1_NA0074",31906624
"60","77P08_H01_CFFv1_NB0098",23267554
"61","101P12_D02_CFFv1_NB0123",37802821
"62","71P09_A02_CFFv1_NB0092",38759327
"63","4P10_B02_CFFv1_NB0016",22743391
"64","104P08_H01_CFFv1_NA0266",21353136
"65","43P07_G01_CFFv1_NA0214",25621625
"66","25P05_E01_CFFv1_NB0042",26636144
"67","39P19_C03_CFFv1_NB0057",30860125
"68","75P04_D01_CFFv1_NB0096",15709564
"69","11P13_E02_CFFv1_NB0023",18952682
"70","44P05_E01_CFFv1_NB0061",22176762
"71","61P15_G02_CFFv1_NB0079",35039908
"72","2P10_B02_CFFv1_NB0014",23657546
"73","35P01_A01_CFFv1_NB0053",15164810
"74","26P01_A01_CFFv1_NB0043",35946454
"75","89R15_G02_CFFv1_NA0074",23790172
"76","105P02_B01_CFFv1_NB0128",13148448
"77","104P11_C02_CFFv1_NA0266",15376668
"78","3P12_D02_CFFv1_NB0015",13712522
"79","89R11_C02_CFFv1_NA0074",15916594
"80","64P03_C01_CFFv1_NB0082",24318647
"81","83P03_C01_CFFv1_NB0104",16517528
"82","121R27_C04_CFFv1_NA0147",24296558
"83","57P04_D01_CFFv1_NB0075",22675678
"84","120P10_B02_CFFv1_NB0144",15220384
"85","24P10_B02_CFFv1_NB0041",14308219
"86","81P05_E01_CFFv1_NB0102",20550581
"87","5P02_B01_CFFv1_NB0017",16732539
"88","96R12_D02_CFFv1_NA0097",15184503
"89","25P13_E02_CFFv1_NB0042",13817128
"90","140R10_B02_CFFv1_NA0183",23508273
"91","40P07_G01_CFFv1_NB0058",21678551
"92","71P05_E01_CFFv1_NB0092",26107834
"93","44P10_B02_CFFv1_NB0061",7413996
"94","3P07_G01_CFFv1_NB0015",10005447
"95","66P10_B02_CFFv1_NB0085",11281731
"96","45P01_A01_CFFv1_NB0062",13173203
"97","88R05_E01_CFFv1_NA0073",17237185
"98","107P05_E01_CFFv1_NB0130",11101604
"99","89P02_B01_CFFv1_NB0111",7645038
"100","86P02_B01_CFFv1_NB0107",8051710
"101","121R13_E02_CFFv1_NA0144",6618118
"102","24P08_H01_CFFv1_NB0041",16464534
"103","22P02_B01_CFFv1_NB0039",4829953
"104","107P07_G01_CFFv1_NB0130",15961967
"105","106P05_E01_CFFv1_NB0129",4522830
"106","17P07_G01_CFFv1_NB0033",5198072
"107","91P03_C01_CFFv1_NB0113",5361812
"108","94P02_B01_CFFv1_NB0116",8055385
"109","80P03_C01_CFFv1_NB0101",4425261
