freq,isize,type,percent
33,38,CMV,1.605839416
23,39,CMV,1.119221411
24,40,CMV,1.167883212
12,41,CMV,0.583941606
11,42,CMV,0.535279805
14,43,CMV,0.681265207
11,44,CMV,0.535279805
11,45,CMV,0.535279805
8,46,CMV,0.389294404
14,47,CMV,0.681265207
17,48,CMV,0.827250608
19,49,CMV,0.924574209
22,50,CMV,1.070559611
19,51,CMV,0.924574209
25,52,CMV,1.216545012
27,53,CMV,1.313868613
30,54,CMV,1.459854015
22,55,CMV,1.070559611
19,56,CMV,0.924574209
26,57,CMV,1.265206813
31,58,CMV,1.508515815
27,59,CMV,1.313868613
27,60,CMV,1.313868613
18,61,CMV,0.875912409
19,62,CMV,0.924574209
31,63,CMV,1.508515815
14,64,CMV,0.681265207
20,65,CMV,0.97323601
17,66,CMV,0.827250608
18,67,CMV,0.875912409
12,68,CMV,0.583941606
16,69,CMV,0.778588808
20,70,CMV,0.97323601
12,71,CMV,0.583941606
18,72,CMV,0.875912409
15,73,CMV,0.729927007
16,74,CMV,0.778588808
16,75,CMV,0.778588808
17,76,CMV,0.827250608
13,77,CMV,0.632603406
13,78,CMV,0.632603406
18,79,CMV,0.875912409
15,80,CMV,0.729927007
7,81,CMV,0.340632603
15,82,CMV,0.729927007
13,83,CMV,0.632603406
20,84,CMV,0.97323601
16,85,CMV,0.778588808
10,86,CMV,0.486618005
11,87,CMV,0.535279805
11,88,CMV,0.535279805
10,89,CMV,0.486618005
8,90,CMV,0.389294404
11,91,CMV,0.535279805
10,92,CMV,0.486618005
3,93,CMV,0.145985401
7,94,CMV,0.340632603
9,95,CMV,0.437956204
4,96,CMV,0.194647202
4,97,CMV,0.194647202
7,98,CMV,0.340632603
6,99,CMV,0.291970803
12,100,CMV,0.583941606
10,101,CMV,0.486618005
11,102,CMV,0.535279805
8,103,CMV,0.389294404
2,104,CMV,0.097323601
7,105,CMV,0.340632603
9,106,CMV,0.437956204
8,107,CMV,0.389294404
5,108,CMV,0.243309002
8,109,CMV,0.389294404
12,110,CMV,0.583941606
2,111,CMV,0.097323601
11,112,CMV,0.535279805
10,113,CMV,0.486618005
6,114,CMV,0.291970803
5,115,CMV,0.243309002
5,116,CMV,0.243309002
6,117,CMV,0.291970803
9,118,CMV,0.437956204
15,119,CMV,0.729927007
6,120,CMV,0.291970803
6,121,CMV,0.291970803
6,122,CMV,0.291970803
5,123,CMV,0.243309002
6,124,CMV,0.291970803
9,125,CMV,0.437956204
4,126,CMV,0.194647202
10,127,CMV,0.486618005
6,128,CMV,0.291970803
8,129,CMV,0.389294404
8,130,CMV,0.389294404
5,131,CMV,0.243309002
6,132,CMV,0.291970803
5,133,CMV,0.243309002
10,134,CMV,0.486618005
10,135,CMV,0.486618005
10,136,CMV,0.486618005
5,137,CMV,0.243309002
5,138,CMV,0.243309002
9,139,CMV,0.437956204
6,140,CMV,0.291970803
3,141,CMV,0.145985401
4,142,CMV,0.194647202
13,143,CMV,0.632603406
10,144,CMV,0.486618005
5,145,CMV,0.243309002
8,146,CMV,0.389294404
10,147,CMV,0.486618005
3,148,CMV,0.145985401
9,149,CMV,0.437956204
7,150,CMV,0.340632603
5,151,CMV,0.243309002
10,152,CMV,0.486618005
7,153,CMV,0.340632603
6,154,CMV,0.291970803
5,155,CMV,0.243309002
8,156,CMV,0.389294404
5,157,CMV,0.243309002
6,158,CMV,0.291970803
9,159,CMV,0.437956204
12,160,CMV,0.583941606
7,161,CMV,0.340632603
8,162,CMV,0.389294404
13,163,CMV,0.632603406
13,164,CMV,0.632603406
8,165,CMV,0.389294404
12,166,CMV,0.583941606
15,167,CMV,0.729927007
12,168,CMV,0.583941606
5,169,CMV,0.243309002
16,170,CMV,0.778588808
13,171,CMV,0.632603406
10,172,CMV,0.486618005
5,173,CMV,0.243309002
11,174,CMV,0.535279805
10,175,CMV,0.486618005
10,176,CMV,0.486618005
10,177,CMV,0.486618005
10,178,CMV,0.486618005
9,179,CMV,0.437956204
7,180,CMV,0.340632603
8,181,CMV,0.389294404
9,182,CMV,0.437956204
7,183,CMV,0.340632603
6,184,CMV,0.291970803
7,185,CMV,0.340632603
5,186,CMV,0.243309002
3,187,CMV,0.145985401
4,188,CMV,0.194647202
4,189,CMV,0.194647202
4,190,CMV,0.194647202
3,191,CMV,0.145985401
3,192,CMV,0.145985401
5,193,CMV,0.243309002
4,194,CMV,0.194647202
6,195,CMV,0.291970803
4,196,CMV,0.194647202
2,197,CMV,0.097323601
1,198,CMV,0.0486618
1,199,CMV,0.0486618
3,200,CMV,0.145985401
3,201,CMV,0.145985401
3,202,CMV,0.145985401
3,203,CMV,0.145985401
2,204,CMV,0.097323601
4,205,CMV,0.194647202
2,206,CMV,0.097323601
2,207,CMV,0.097323601
2,208,CMV,0.097323601
6,209,CMV,0.291970803
3,210,CMV,0.145985401
3,211,CMV,0.145985401
3,212,CMV,0.145985401
1,213,CMV,0.0486618
2,215,CMV,0.097323601
2,217,CMV,0.097323601
2,218,CMV,0.097323601
2,219,CMV,0.097323601
3,220,CMV,0.145985401
3,222,CMV,0.145985401
3,224,CMV,0.145985401
3,226,CMV,0.145985401
1,227,CMV,0.0486618
1,228,CMV,0.0486618
1,230,CMV,0.0486618
1,231,CMV,0.0486618
2,232,CMV,0.097323601
3,233,CMV,0.145985401
2,235,CMV,0.097323601
2,236,CMV,0.097323601
3,237,CMV,0.145985401
1,238,CMV,0.0486618
1,239,CMV,0.0486618
1,240,CMV,0.0486618
3,241,CMV,0.145985401
2,242,CMV,0.097323601
2,243,CMV,0.097323601
2,245,CMV,0.097323601
1,246,CMV,0.0486618
3,247,CMV,0.145985401
2,248,CMV,0.097323601
1,249,CMV,0.0486618
1,251,CMV,0.0486618
2,252,CMV,0.097323601
1,254,CMV,0.0486618
1,256,CMV,0.0486618
1,257,CMV,0.0486618
1,258,CMV,0.0486618
2,260,CMV,0.097323601
1,263,CMV,0.0486618
1,265,CMV,0.0486618
3,267,CMV,0.145985401
3,268,CMV,0.145985401
1,269,CMV,0.0486618
1,270,CMV,0.0486618
5,272,CMV,0.243309002
1,274,CMV,0.0486618
2,275,CMV,0.097323601
2,277,CMV,0.097323601
1,278,CMV,0.0486618
1,279,CMV,0.0486618
2,280,CMV,0.097323601
1,281,CMV,0.0486618
1,282,CMV,0.0486618
2,283,CMV,0.097323601
1,284,CMV,0.0486618
2,286,CMV,0.097323601
1,287,CMV,0.0486618
2,288,CMV,0.097323601
2,289,CMV,0.097323601
2,291,CMV,0.097323601
2,292,CMV,0.097323601
2,293,CMV,0.097323601
1,294,CMV,0.0486618
1,295,CMV,0.0486618
1,296,CMV,0.0486618
1,297,CMV,0.0486618
1,298,CMV,0.0486618
2,299,CMV,0.097323601
3,302,CMV,0.145985401
4,303,CMV,0.194647202
5,304,CMV,0.243309002
2,305,CMV,0.097323601
2,306,CMV,0.097323601
4,307,CMV,0.194647202
1,308,CMV,0.0486618
4,309,CMV,0.194647202
2,310,CMV,0.097323601
1,311,CMV,0.0486618
1,312,CMV,0.0486618
1,313,CMV,0.0486618
4,314,CMV,0.194647202
2,315,CMV,0.097323601
2,316,CMV,0.097323601
2,317,CMV,0.097323601
1,318,CMV,0.0486618
2,319,CMV,0.097323601
3,321,CMV,0.145985401
5,323,CMV,0.243309002
2,324,CMV,0.097323601
1,325,CMV,0.0486618
3,326,CMV,0.145985401
2,327,CMV,0.097323601
2,328,CMV,0.097323601
1,329,CMV,0.0486618
2,330,CMV,0.097323601
1,331,CMV,0.0486618
1,332,CMV,0.0486618
2,333,CMV,0.097323601
1,334,CMV,0.0486618
2,336,CMV,0.097323601
3,339,CMV,0.145985401
1,340,CMV,0.0486618
2,342,CMV,0.097323601
1,344,CMV,0.0486618
1,345,CMV,0.0486618
1,347,CMV,0.0486618
1,348,CMV,0.0486618
2,349,CMV,0.097323601
1,351,CMV,0.0486618
2,352,CMV,0.097323601
2,353,CMV,0.097323601
1,354,CMV,0.0486618
2,356,CMV,0.097323601
1,357,CMV,0.0486618
2,358,CMV,0.097323601
2,359,CMV,0.097323601
2,363,CMV,0.097323601
1,364,CMV,0.0486618
1,365,CMV,0.0486618
1,368,CMV,0.0486618
1,369,CMV,0.0486618
1,370,CMV,0.0486618
3,371,CMV,0.145985401
1,372,CMV,0.0486618
1,373,CMV,0.0486618
1,376,CMV,0.0486618
1,378,CMV,0.0486618
1,381,CMV,0.0486618
1,383,CMV,0.0486618
2,385,CMV,0.097323601
1,386,CMV,0.0486618
3,388,CMV,0.145985401
2,389,CMV,0.097323601
1,392,CMV,0.0486618
2,393,CMV,0.097323601
1,396,CMV,0.0486618
1,400,CMV,0.0486618
1,404,CMV,0.0486618
1,405,CMV,0.0486618
1,407,CMV,0.0486618
1,414,CMV,0.0486618
1,419,CMV,0.0486618
2,420,CMV,0.097323601
2,422,CMV,0.097323601
1,426,CMV,0.0486618
1,428,CMV,0.0486618
3,432,CMV,0.145985401
1,433,CMV,0.0486618
1,434,CMV,0.0486618
1,435,CMV,0.0486618
1,441,CMV,0.0486618
1,442,CMV,0.0486618
1,444,CMV,0.0486618
1,445,CMV,0.0486618
1,446,CMV,0.0486618
2,447,CMV,0.097323601
1,449,CMV,0.0486618
1,453,CMV,0.0486618
1,454,CMV,0.0486618
1,456,CMV,0.0486618
1,457,CMV,0.0486618
1,459,CMV,0.0486618
2,460,CMV,0.097323601
1,462,CMV,0.0486618
1,465,CMV,0.0486618
1,468,CMV,0.0486618
1,471,CMV,0.0486618
1,474,CMV,0.0486618
2,475,CMV,0.097323601
1,478,CMV,0.0486618
1,481,CMV,0.0486618
1,482,CMV,0.0486618
1,488,CMV,0.0486618
1,492,CMV,0.0486618
