"","sample","read_id","isize"
"1","CMV","NB502000:222:HTNM7BGX9:1:11101:17364:1404 .1",58
"3","CMV","NB502000:222:HTNM7BGX9:1:11102:24722:8015 .1",53
"5","CMV","NB502000:222:HTNM7BGX9:1:11102:2560:19057 .1",143
"7","CMV","NB502000:222:HTNM7BGX9:1:11103:22022:8004 .1",117
"9","CMV","NB502000:222:HTNM7BGX9:1:11103:19014:8906 .1",84
"11","CMV","NB502000:222:HTNM7BGX9:1:11103:17013:9957 .1",63
"13","CMV","NB502000:222:HTNM7BGX9:1:11103:7928:11739 .1",107
"15","CMV","NB502000:222:HTNM7BGX9:1:11103:23094:14830 .1",63
"17","CMV","NB502000:222:HTNM7BGX9:1:11103:7264:14950 .1",84
"20","CMV","NB502000:222:HTNM7BGX9:1:11103:2429:18277 .1",177
"22","CMV","NB502000:222:HTNM7BGX9:1:11104:4669:8502 .1",58
"24","CMV","NB502000:222:HTNM7BGX9:1:11104:8239:10793 .1",168
"26","CMV","NB502000:222:HTNM7BGX9:1:11105:21812:2542 .1",210
"28","CMV","NB502000:222:HTNM7BGX9:1:11106:18358:17351 .1",138
"30","CMV","NB502000:222:HTNM7BGX9:1:11106:22361:19498 .1",147
"32","CMV","NB502000:222:HTNM7BGX9:1:11107:20127:14640 .1",462
"34","CMV","NB502000:222:HTNM7BGX9:1:11108:11483:1198 .1",247
"36","CMV","NB502000:222:HTNM7BGX9:1:11108:26579:4538 .1",56
"38","CMV","NB502000:222:HTNM7BGX9:1:11108:4679:8164 .1",162
"40","CMV","NB502000:222:HTNM7BGX9:1:11108:4364:14288 .1",99
"42","CMV","NB502000:222:HTNM7BGX9:1:11109:2580:6244 .1",63
"44","CMV","NB502000:222:HTNM7BGX9:1:11109:21627:13094 .1",178
"46","CMV","NB502000:222:HTNM7BGX9:1:11109:17288:16714 .1",78
"48","CMV","NB502000:222:HTNM7BGX9:1:11109:15167:18057 .1",220
"50","CMV","NB502000:222:HTNM7BGX9:1:11110:6536:11625 .1",358
"52","CMV","NB502000:222:HTNM7BGX9:1:11111:15890:1154 .1",166
"54","CMV","NB502000:222:HTNM7BGX9:1:11111:1895:3865 .1",167
"56","CMV","NB502000:222:HTNM7BGX9:1:11111:21781:6634 .1",54
"58","CMV","NB502000:222:HTNM7BGX9:1:11111:12173:12855 .1",208
"60","CMV","NB502000:222:HTNM7BGX9:1:11112:8934:6844 .1",167
"62","CMV","NB502000:222:HTNM7BGX9:1:11112:16712:17643 .1",122
"64","CMV","NB502000:222:HTNM7BGX9:1:11201:16760:10690 .1",231
"66","CMV","NB502000:222:HTNM7BGX9:1:11201:18938:15533 .1",176
"68","CMV","NB502000:222:HTNM7BGX9:1:11202:12829:7536 .1",128
"70","CMV","NB502000:222:HTNM7BGX9:1:11202:26462:15114 .1",134
"72","CMV","NB502000:222:HTNM7BGX9:1:11203:24392:13793 .1",170
"74","CMV","NB502000:222:HTNM7BGX9:1:11204:22111:9738 .1",39
"76","CMV","NB502000:222:HTNM7BGX9:1:11205:8353:4397 .1",92
"78","CMV","NB502000:222:HTNM7BGX9:1:11205:8423:12396 .1",80
"80","CMV","NB502000:222:HTNM7BGX9:1:11205:16963:18210 .1",110
"82","CMV","NB502000:222:HTNM7BGX9:1:11205:17448:18926 .1",209
"84","CMV","NB502000:222:HTNM7BGX9:1:11206:12858:16781 .1",86
"86","CMV","NB502000:222:HTNM7BGX9:1:11207:21599:10566 .1",59
"88","CMV","NB502000:222:HTNM7BGX9:1:11207:8881:11263 .1",195
"90","CMV","NB502000:222:HTNM7BGX9:1:11208:9457:3570 .1",49
"92","CMV","NB502000:222:HTNM7BGX9:1:11208:23304:10997 .1",130
"94","CMV","NB502000:222:HTNM7BGX9:1:11208:18475:12758 .1",251
"96","CMV","NB502000:222:HTNM7BGX9:1:11208:10597:13592 .1",166
"98","CMV","NB502000:222:HTNM7BGX9:1:11208:3249:14173 .1",59
"102","CMV","NB502000:222:HTNM7BGX9:1:11208:14687:17136 .1",144
"104","CMV","NB502000:222:HTNM7BGX9:1:11209:20736:2299 .1",62
"106","CMV","NB502000:222:HTNM7BGX9:1:11209:13600:13944 .1",118
"108","CMV","NB502000:222:HTNM7BGX9:1:11209:24036:18078 .1",58
"110","CMV","NB502000:222:HTNM7BGX9:1:11210:15727:7917 .1",305
"112","CMV","NB502000:222:HTNM7BGX9:1:11210:20583:11753 .1",130
"114","CMV","NB502000:222:HTNM7BGX9:1:11210:26719:12859 .1",92
"116","CMV","NB502000:222:HTNM7BGX9:1:11210:17591:15582 .1",275
"118","CMV","NB502000:222:HTNM7BGX9:1:11211:8796:5679 .1",38
"120","CMV","NB502000:222:HTNM7BGX9:1:11211:4913:10859 .1",248
"122","CMV","NB502000:222:HTNM7BGX9:1:11211:17236:11352 .1",149
"124","CMV","NB502000:222:HTNM7BGX9:1:11211:7823:13988 .1",196
"126","CMV","NB502000:222:HTNM7BGX9:1:11211:7740:16856 .1",103
"128","CMV","NB502000:222:HTNM7BGX9:1:11212:24416:2997 .1",79
"130","CMV","NB502000:222:HTNM7BGX9:1:11212:17378:8803 .1",156
"132","CMV","NB502000:222:HTNM7BGX9:1:11212:26506:17978 .1",148
"134","CMV","NB502000:222:HTNM7BGX9:1:11301:25571:11752 .1",42
"136","CMV","NB502000:222:HTNM7BGX9:1:11302:9321:2492 .1",326
"138","CMV","NB502000:222:HTNM7BGX9:1:11302:16810:9404 .1",56
"140","CMV","NB502000:222:HTNM7BGX9:1:11302:11841:12602 .1",119
"142","CMV","NB502000:222:HTNM7BGX9:1:11302:6558:15620 .1",126
"144","CMV","NB502000:222:HTNM7BGX9:1:11302:13352:19233 .1",207
"146","CMV","NB502000:222:HTNM7BGX9:1:11302:8758:20195 .1",87
"148","CMV","NB502000:222:HTNM7BGX9:1:11303:25220:1745 .1",100
"150","CMV","NB502000:222:HTNM7BGX9:1:11303:17879:2508 .1",174
"152","CMV","NB502000:222:HTNM7BGX9:1:11303:13657:3097 .1",356
"154","CMV","NB502000:222:HTNM7BGX9:1:11303:14611:8625 .1",39
"156","CMV","NB502000:222:HTNM7BGX9:1:11303:20336:13940 .1",209
"158","CMV","NB502000:222:HTNM7BGX9:1:11304:25582:10702 .1",134
"160","CMV","NB502000:222:HTNM7BGX9:1:11305:18765:15735 .1",91
"163","CMV","NB502000:222:HTNM7BGX9:1:11307:5421:5822 .1",108
"165","CMV","NB502000:222:HTNM7BGX9:1:11307:8142:9914 .1",167
"167","CMV","NB502000:222:HTNM7BGX9:1:11307:7862:10600 .1",58
"169","CMV","NB502000:222:HTNM7BGX9:1:11307:17621:16194 .1",115
"171","CMV","NB502000:222:HTNM7BGX9:1:11307:22649:17707 .1",198
"173","CMV","NB502000:222:HTNM7BGX9:1:11308:8714:7048 .1",209
"175","CMV","NB502000:222:HTNM7BGX9:1:11308:10021:13580 .1",183
"177","CMV","NB502000:222:HTNM7BGX9:1:11308:17516:13866 .1",213
"179","CMV","NB502000:222:HTNM7BGX9:1:11308:11493:18275 .1",165
"181","CMV","NB502000:222:HTNM7BGX9:1:11309:9100:6352 .1",200
"183","CMV","NB502000:222:HTNM7BGX9:1:11309:12733:6650 .1",87
"185","CMV","NB502000:222:HTNM7BGX9:1:11309:22505:9229 .1",82
"187","CMV","NB502000:222:HTNM7BGX9:1:11310:8541:6566 .1",139
"189","CMV","NB502000:222:HTNM7BGX9:1:11310:9252:13189 .1",188
"191","CMV","NB502000:222:HTNM7BGX9:1:11310:5920:13612 .1",76
"193","CMV","NB502000:222:HTNM7BGX9:1:11311:20463:5468 .1",48
"195","CMV","NB502000:222:HTNM7BGX9:1:11311:14944:17336 .1",127
"197","CMV","NB502000:222:HTNM7BGX9:1:11312:10114:1426 .1",129
"199","CMV","NB502000:222:HTNM7BGX9:1:11312:11216:19546 .1",181
"201","CMV","NB502000:222:HTNM7BGX9:1:12101:24688:5942 .1",326
"203","CMV","NB502000:222:HTNM7BGX9:1:12101:4586:9533 .1",51
"205","CMV","NB502000:222:HTNM7BGX9:1:12102:14942:3072 .1",58
"207","CMV","NB502000:222:HTNM7BGX9:1:12102:13655:12494 .1",94
"209","CMV","NB502000:222:HTNM7BGX9:1:12103:26015:7365 .1",287
"211","CMV","NB502000:222:HTNM7BGX9:1:12103:3722:7592 .1",114
"213","CMV","NB502000:222:HTNM7BGX9:1:12103:9990:14549 .1",282
"215","CMV","NB502000:222:HTNM7BGX9:1:12104:4115:5708 .1",58
"217","CMV","NB502000:222:HTNM7BGX9:1:12104:9607:9955 .1",55
"219","CMV","NB502000:222:HTNM7BGX9:1:12104:3304:10611 .1",151
"221","CMV","NB502000:222:HTNM7BGX9:1:12105:24720:1400 .1",67
"223","CMV","NB502000:222:HTNM7BGX9:1:12105:5669:10741 .1",48
"225","CMV","NB502000:222:HTNM7BGX9:1:12105:18329:11758 .1",154
"227","CMV","NB502000:222:HTNM7BGX9:1:12105:22061:15483 .1",392
"229","CMV","NB502000:222:HTNM7BGX9:1:12105:24847:15835 .1",66
"231","CMV","NB502000:222:HTNM7BGX9:1:12105:24909:18076 .1",66
"233","CMV","NB502000:222:HTNM7BGX9:1:12106:12114:14755 .1",339
"235","CMV","NB502000:222:HTNM7BGX9:1:12106:16064:14871 .1",60
"237","CMV","NB502000:222:HTNM7BGX9:1:12106:18970:17381 .1",156
"239","CMV","NB502000:222:HTNM7BGX9:1:12107:10550:1996 .1",180
"241","CMV","NB502000:222:HTNM7BGX9:1:12107:20567:11853 .1",146
"243","CMV","NB502000:222:HTNM7BGX9:1:12108:25822:2804 .1",127
"245","CMV","NB502000:222:HTNM7BGX9:1:12108:21741:14451 .1",179
"247","CMV","NB502000:222:HTNM7BGX9:1:12109:24572:6157 .1",150
"249","CMV","NB502000:222:HTNM7BGX9:1:12109:3654:6682 .1",187
"251","CMV","NB502000:222:HTNM7BGX9:1:12109:10668:14361 .1",169
"253","CMV","NB502000:222:HTNM7BGX9:1:12109:18019:15342 .1",48
"255","CMV","NB502000:222:HTNM7BGX9:1:12109:22537:20349 .1",121
"257","CMV","NB502000:222:HTNM7BGX9:1:12110:14207:5325 .1",215
"259","CMV","NB502000:222:HTNM7BGX9:1:12110:8867:10249 .1",309
"261","CMV","NB502000:222:HTNM7BGX9:1:12110:10742:14145 .1",177
"263","CMV","NB502000:222:HTNM7BGX9:1:12112:22991:9976 .1",134
"265","CMV","NB502000:222:HTNM7BGX9:1:12112:2384:10155 .1",145
"267","CMV","NB502000:222:HTNM7BGX9:1:12112:11629:13547 .1",51
"269","CMV","NB502000:222:HTNM7BGX9:1:12112:25702:13828 .1",400
"271","CMV","NB502000:222:HTNM7BGX9:1:12112:9750:14957 .1",175
"273","CMV","NB502000:222:HTNM7BGX9:1:12112:8982:16637 .1",388
"275","CMV","NB502000:222:HTNM7BGX9:1:12201:23875:2116 .1",66
"277","CMV","NB502000:222:HTNM7BGX9:1:12201:6448:7746 .1",144
"279","CMV","NB502000:222:HTNM7BGX9:1:12202:25890:4098 .1",61
"281","CMV","NB502000:222:HTNM7BGX9:1:12202:17881:14380 .1",120
"283","CMV","NB502000:222:HTNM7BGX9:1:12202:25005:19673 .1",95
"285","CMV","NB502000:222:HTNM7BGX9:1:12203:6614:7836 .1",119
"287","CMV","NB502000:222:HTNM7BGX9:1:12204:19936:2540 .1",297
"289","CMV","NB502000:222:HTNM7BGX9:1:12204:12248:14423 .1",161
"291","CMV","NB502000:222:HTNM7BGX9:1:12204:7343:15663 .1",83
"293","CMV","NB502000:222:HTNM7BGX9:1:12204:24620:16484 .1",61
"295","CMV","NB502000:222:HTNM7BGX9:1:12204:18904:19381 .1",143
"297","CMV","NB502000:222:HTNM7BGX9:1:12204:10681:20197 .1",183
"299","CMV","NB502000:222:HTNM7BGX9:1:12206:18067:2599 .1",107
"301","CMV","NB502000:222:HTNM7BGX9:1:12206:12959:7867 .1",117
"303","CMV","NB502000:222:HTNM7BGX9:1:12206:19431:13481 .1",172
"305","CMV","NB502000:222:HTNM7BGX9:1:12206:4207:17781 .1",449
"307","CMV","NB502000:222:HTNM7BGX9:1:12206:13602:19293 .1",75
"309","CMV","NB502000:222:HTNM7BGX9:1:12207:6651:5969 .1",122
"311","CMV","NB502000:222:HTNM7BGX9:1:12207:17483:10854 .1",147
"313","CMV","NB502000:222:HTNM7BGX9:1:12207:24033:14608 .1",54
"315","CMV","NB502000:222:HTNM7BGX9:1:12207:19267:16145 .1",119
"317","CMV","NB502000:222:HTNM7BGX9:1:12207:25934:19633 .1",109
"319","CMV","NB502000:222:HTNM7BGX9:1:12208:20222:9656 .1",153
"321","CMV","NB502000:222:HTNM7BGX9:1:12208:23202:16012 .1",220
"323","CMV","NB502000:222:HTNM7BGX9:1:12209:22934:3315 .1",307
"325","CMV","NB502000:222:HTNM7BGX9:1:12209:5610:3951 .1",79
"327","CMV","NB502000:222:HTNM7BGX9:1:12209:8780:11235 .1",119
"329","CMV","NB502000:222:HTNM7BGX9:1:12209:19289:15621 .1",69
"331","CMV","NB502000:222:HTNM7BGX9:1:12209:11297:17469 .1",194
"333","CMV","NB502000:222:HTNM7BGX9:1:12210:9433:8381 .1",63
"335","CMV","NB502000:222:HTNM7BGX9:1:12210:20264:10148 .1",196
"337","CMV","NB502000:222:HTNM7BGX9:1:12211:22788:1342 .1",78
"339","CMV","NB502000:222:HTNM7BGX9:1:12211:13167:12611 .1",233
"341","CMV","NB502000:222:HTNM7BGX9:1:12212:1720:8335 .1",57
"343","CMV","NB502000:222:HTNM7BGX9:1:12212:17180:11593 .1",60
"345","CMV","NB502000:222:HTNM7BGX9:1:12301:24302:1478 .1",47
"347","CMV","NB502000:222:HTNM7BGX9:1:12301:15958:18516 .1",38
"349","CMV","NB502000:222:HTNM7BGX9:1:12302:7871:13625 .1",147
"352","CMV","NB502000:222:HTNM7BGX9:1:12303:5335:5681 .1",85
"354","CMV","NB502000:222:HTNM7BGX9:1:12303:9817:6114 .1",218
"356","CMV","NB502000:222:HTNM7BGX9:1:12303:6775:7431 .1",122
"358","CMV","NB502000:222:HTNM7BGX9:1:12303:4825:8186 .1",66
"360","CMV","NB502000:222:HTNM7BGX9:1:12303:7155:11711 .1",85
"362","CMV","NB502000:222:HTNM7BGX9:1:12304:19932:1831 .1",157
"366","CMV","NB502000:222:HTNM7BGX9:1:12304:2675:19102 .1",38
"368","CMV","NB502000:222:HTNM7BGX9:1:12305:20393:8888 .1",91
"370","CMV","NB502000:222:HTNM7BGX9:1:12305:10911:11828 .1",135
"372","CMV","NB502000:222:HTNM7BGX9:1:12305:8321:13836 .1",104
"374","CMV","NB502000:222:HTNM7BGX9:1:12306:21727:1443 .1",64
