"","counts","names","type","depth","read_counts","length","normalized","normalized_adjusted","rpkm","fraction"
"1",17,"100R21_E03_CFFv1_NA0104_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.555460017196905,8742122,2326,6.35383511230917e-08,73.7444098240679,0.836030935830154,1.94460795674094e-06
"2",46,"104P04_D01_CFFv1_NA0266_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.50300945829751,22370624,2326,6.71867471509738e-08,77.978841582604,0.88403614672334,2.05626807727849e-06
"3",35,"108R08_H01_CFFv1_NA0123_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.14359415305245,19397685,2326,5.89551873356254e-08,68.4250601295979,0.775726149152966,1.8043390229298e-06
"4",18,"108R17_A03_CFFv1_NA0123_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.588134135855546,9514796,2326,6.18125849314632e-08,71.7414367055268,0.813323485940305,1.89179042829715e-06
"5",61,"109P08_H01_CFFv1_NA0273_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.99312123817713,37966270,2326,5.24971570337863e-08,60.9296872592435,0.69075206623403,1.60668930606035e-06
"6",76,"109P08_H01_CFFv1_NB0133_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",2.48323301805675,41837035,2326,5.93548997450883e-08,68.8889776725334,0.780985522961688,1.81657232640889e-06
"7",25,"10P05_E01_CFFv1_NB0022_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.816852966466036,12197488,2326,6.69689502023725e-08,77.7260602756896,0.881170397399638,2.04960234435156e-06
"8",15,"120R22_F03_CFFv1_NA0137_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.490111779879622,7041653,2326,6.96018079674789e-08,80.7818295647343,0.915813262729985,2.13018164910995e-06
"9",23,"25P15_G02_CFFv1_NB0042_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.751504729148753,21445739,2326,3.50421465610839e-08,40.6709077500197,0.461080875803736,1.07247411711949e-06
"10",46,"25P19_C03_CFFv1_NB0042_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.50300945829751,21975800,2326,6.8393844970263e-08,79.3798334986667,0.899919012766619,2.09321162369516e-06
"11",40,"52P23_G03_CFFv1_NB0069_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.30696474634566,15169003,2326,8.61602272967879e-08,100,1.13368720127353,2.63695643016222e-06
"12",50,"73P02_B01_CFFv1_NB0094_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.63370593293207,25809275,2326,6.32991795752524e-08,73.466820551914,0.832883941779637,1.93728804857944e-06
"13",43,"76P02_B01_CFFv1_NB0097_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.40498710232158,35451467,2326,3.96312824606548e-08,45.9971888469383,0.521464242903352,1.2129258289932e-06
"14",10,"93R20_D03_CFFv1_NA0087_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",0.326741186586414,6668156,2326,4.90002313362816e-08,56.8710562560324,0.644739886003706,1.49966497484462e-06
"15",45,"97P10_B02_CFFv1_NB0119_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.47033533963886,25571265,2326,5.74995151643403e-08,66.7355657805744,0.756572567951846,1.75978779305599e-06
"16",33,"98P11_C02_CFFv1_NB0120_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",1.07824591573517,22777892,2326,4.73373881891778e-08,54.9411134050508,0.622860370910234,1.44877322273721e-06
"17",99,"99P03_C01_CFFv1_NB0121_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",3.2347377472055,58704472,2326,5.51020669635782e-08,63.9530194990937,0.725027196889187,1.68641325996425e-06
"18",95,"9P01_A01_CFFv1_NB0021_bglobin_out.sam.bam.sorted.deduplicated.bam","Beta globin",3.10404127257094,52685887,2326,5.89159915362332e-08,68.3795683747338,0.775210414950436,1.80313942517472e-06
"19",13,"100R21_E03_CFFv1_NA0104_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",0.393625498007968,8742122,2510,4.50263103177888e-08,52.2588109739903,0.592451451549852,1.48705314339013e-06
"20",46,"104P04_D01_CFFv1_NA0266_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.39282868525896,22370624,2510,6.22615035351255e-08,72.2624643510506,0.819230309672704,2.05626807727849e-06
