"","lengthlist","samplelist","sample_trimmed","cluster"
"1",101,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"2",102,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"3",108,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"4",108,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"5",108,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"6",110,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"7",111,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"8",120,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"9",123,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"10",123,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"11",123,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"12",126,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"13",130,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"14",131,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"15",132,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"16",133,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"17",135,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"18",137,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"19",137,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"20",138,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"21",138,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"22",139,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"23",140,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"24",141,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"25",143,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"26",144,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"27",145,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"28",145,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"29",145,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"30",145,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"31",146,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"32",147,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
"33",147,"100R21_E03_CFFv1_NA0104_host_filtered.fastq","9P01","High cluster"
